Designation,Geno,Location,PLOT_NO,BLK,REP_NO,D50F,FE,BP,RuEs,RtNd,LdS,SHS,PH,M95D,PHvt,MC,HSW,NPY,GY
TGx 2014-16FM,G23,IITA_Ikenne,135,9,3,,1,1,1,1,1.5,1,99,125,48,10.1,15,1287.3,3218.25
(TGx1987-9F/TGx1740-2F)-#F5-1025-1,G28,IITA_Zaria,1,1,1,56,,,,5,2,1,66,120,94,7.2,13.5,1569.2,2632.64684
TGx 2029-39F,G26,IITA_Zaria,2,1,1,48,,,,5,1,1,107,110,103,6.9,13.6,2081.5,3492.13255
TGx 2029-7F,G17,IITA_Zaria,3,1,1,47,,,,5,1,2,110,109,86,7.7,11.2,1572.5,2638.18325
TGx 2029-22F,G34,IITA_Zaria,4,1,1,48,,,,4,1,1,88,119,66,7.1,14.2,1598,2680.9646
SC-SIGNA,G24,IITA_Zaria,5,1,1,43,,,,5,1,2,81,106,63,6.9,18.8,1678.4,2815.85168
TGx_1951-4F,G1,IITA_Zaria,6,2,1,51,,,,4,3,2,103,118,171,7,14.2,1345.2,2256.84204
TGx 2029-53F,G22,IITA_Zaria,7,2,1,47,,,,4,1,1,99,119,97,7.6,15,1641.2,2753.44124
TGx1961-1FxH10-2-3-7-2-1,G5,IITA_Zaria,8,2,1,56,,,,5,1,4,86,103,117,7.1,14.7,1507,2528.2939
TGx1987-9FxTGx1835-10E-1-2-2-1-1,G7,IITA_Zaria,9,2,1,51,,,,5,1,1,80,105,123,7.3,19,1059.9,1778.19423
TGx1989-45FxTGx1835-10E-3-2-1-3-3-E,G11,IITA_Zaria,10,2,1,56,,,,5,2,1,92,114,114,6.9,13.3,1433.2,2404.47964
TGx_1993-18FN,G2,IITA_Zaria,11,3,1,48,,,,4,3,4,71,118,74,7.7,15.9,1611.7,2703.94909
Maksoy-4N,G44,IITA_Zaria,12,3,1,48,,,,5,3,3,116,109,73,7.4,15.2,1012.5,1698.67125
TGx2029-31F,G19,IITA_Zaria,13,3,1,47,,,,4,1,1,99,115,78,7.2,16,1094.5,1836.24265
(TGx1830-20E/UG5)-#F6-2014-27-5,G32,IITA_Zaria,14,3,1,44,,,,4,1,2,64,102,130,9,14.3,1681.6,2821.22032
SONGDA,G25,IITA_Zaria,15,3,1,51,,,,4,2,1,85,122,63,7.4,11.5,941.1,1578.88347
(TGx1987-10F/TGx1740-2F)-#F5-1011-8,G41,IITA_Zaria,16,4,1,56,,,,5,1,2,68,119,63,6.9,11.6,1006.1,1687.93397
TGx_2022-3E,G12,IITA_Zaria,17,4,1,58,,,,5,1,1,78,117,66,7.2,14.6,1272.2,2134.36994
TGx_2015-2E,G3,IITA_Zaria,18,4,1,56,,,,5,2,1,64,116,108,7.8,13.8,1411,2367.2347
TGx1989-11FxTGx1987-10F-1-1-3-1-3-I,G4,IITA_Zaria,19,4,1,60,,,,4,1,1,90,116,151,7,12,987.2,1656.22544
TGx1961-1FxTGx1835-10E-1-1-4-2-1-E,G6,IITA_Zaria,20,4,1,56,,,,4,2,1,94,113,110,7.9,14,1078.2,1808.89614
TGx2029-49F,G20,IITA_Zaria,21,5,1,47,,,,5,1,2,94,116,120,7.9,14,1273,2135.7121
Panaroma-3,G16,IITA_Zaria,22,5,1,46,,,,4,1,2,97,119,59,7.2,12.6,761.9,1278.23963
TGx1987-11FxH7-3-1-1-1-2-3-I,G8,IITA_Zaria,23,5,1,59,,,,3,2,1,69,116,101,7,12.7,1121.3,1881.20501
PANORAMA-27D,G21,IITA_Zaria,24,5,1,50,,,,4,2,2,68,121,57,7.1,15.2,847.8,1422.35406
TGx 2014-16FM,G23,IITA_Zaria,25,5,1,37,,,,4,1,1,74,106,90,7.4,15,1204.4,2020.62188
Panaroma-1,G18,IITA_Zaria,26,6,1,49,,,,5,1,1,76,119,30,7.2,13.9,540.5,906.79685
(TGx1740-2F/MW1)-#F6-2002-10-11,G37,IITA_Zaria,27,6,1,45,,,,5,1,1,67,106,123,7,17.3,1234.3,2070.78511
TGx 2029-20F,G38,IITA_Zaria,28,6,1,50,,,,5,1,1,78,102,82,7.2,13.3,1032.2,1731.72194
(TGx1740-2F/MW1)-#F6-2002-10-19,G30,IITA_Zaria,29,6,1,45,,,,3,1,1,64,102,151,7.4,16,1335.9,2241.23943
TGx1987-62FxH7-1-1-4-3-2-E,G13,IITA_Zaria,30,6,1,52,,,,5,1,1,69,104,130,7.5,10.2,1135.4,1904.86058
(TGx1740-2F/MW1)-#F6-2002-10-28,G31,IITA_Zaria,31,7,1,47,,,,4,1,1,75,102,102,7.7,15,1547.4,2596.07298
TGx1987-11FxH7-3-1-1-1-2-6-I,G9,IITA_Zaria,32,7,1,50,,,,5,2,1,65,109,83,6.9,12.8,1252.4,2101.15148
TGx 2029-21F,G15,IITA_Zaria,33,7,1,46,,,,5,2,1,60,120,111,6.9,11.2,1006.7,1688.94059
TGx1989-19FxTGx1987-10F-5-3-1-2-2-I,G10,IITA_Zaria,34,7,1,59,,,,4,1,1,81,119,103,6.9,12,1160.4,1946.80308
(TGx1987-62F/MW1)-#F5-1006-15,G42,IITA_Zaria,35,7,1,52,,,,5,2,1,68,109,90,7.7,15.1,1026.1,1721.48797
(TGx1830-20E/UG5)-#F6-2014-27-6,G33,IITA_Zaria,36,8,1,42,,,,3,1,1,66,103,146,6.9,13,1461.5,2451.95855
(TGx1987-10F/TGx1740-2F)-#F5-1011-6,G40,IITA_Zaria,37,8,1,52,,,,4,1,1,84,109,49,6.9,12.1,850.1,1426.21277
TGx2029-27F,G39,IITA_Zaria,38,8,1,44,,,,5,1,3,71,108,134,6.9,14.3,1127.6,1891.77452
(TGx1740-2F/MW1)-#F6-2002-10-15,G29,IITA_Zaria,39,8,1,45,,,,4,1,1,80,102,127,6.9,16.1,1192.6,2000.82502
TGx1990-38FxTGx1835-10E-1-4-3-1-1-E,G14,IITA_Zaria,40,8,1,45,,,,4,1,4,73,104,116,6.9,12.9,1412,2368.9124
TGX1951-3F,G27,IITA_Zaria,41,9,1,55,,,,5,2,1,90,117,161,7.1,11.3,956.1,1604.04897
TGx 1448-2E,G35,IITA_Zaria,42,9,1,57,,,,5,1,1,69,118,98,6.9,11.1,1223.8,2053.16926
(TGx1987-62F/MW1)-#F5-1006-22,G43,IITA_Zaria,43,9,1,52,,,,4,1,1,89,105,135,7,14.3,1214.6,2037.73442
(TGx1740-2F/MW1)-#F6-2002-10-21,G45,IITA_Zaria,44,9,1,47,,,,4,1,5,91,116,85,7,14.9,961,1612.2697
TGx 1989-19F,G36,IITA_Zaria,45,9,1,48,,,,4,1,5,75,116,124,6.9,15.2,724.6,1215.66142
(TGx1830-20E/UG5)-#F6-2014-27-6,G33,IITA_Zaria,46,1,2,43,,,,3,2,2,92,101,127,7.6,13.8,1495.2,2508.49704
TGX1951-3F,G27,IITA_Zaria,47,1,2,55,,,,5,2,1,71,116,200,7.1,12.6,1184.2,1986.73234
TGx 2029-7F,G17,IITA_Zaria,48,1,2,45,,,,4,1,1,102,117,107,7,13,970.4,1628.04008
(TGx1987-10F/TGx1740-2F)-#F5-1011-8,G41,IITA_Zaria,49,1,2,57,,,,3,2,1,96,116,132,7,12.1,816.9,1370.51313
TGx 2029-21F,G15,IITA_Zaria,50,1,2,48,,,,5,1,1,93,121,106,7.5,11.6,738,1238.1426
(TGx1740-2F/MW1)-#F6-2002-10-21,G45,IITA_Zaria,51,2,2,46,,,,5,1,5,57,108,143,7.3,16.4,1135.7,1905.36389
Panaroma-3,G16,IITA_Zaria,52,2,2,46,,,,5,1,1,70,119,108,7.1,12.9,776,1301.8952
TGx1989-11FxTGx1987-10F-1-1-3-1-3-I,G4,IITA_Zaria,53,2,2,59,,,,4,2,1,64,117,132,8.1,12.3,989.3,1659.74861
TGx 2029-39F,G26,IITA_Zaria,54,2,2,45,,,,5,1,1,90,117,93,6.9,12,1092.2,1832.38394
TGx_1993-18FN,G2,IITA_Zaria,55,2,2,47,,,,3,1,1,71,107,138,7.3,13.6,1261.2,2115.91524
PANORAMA-27D,G21,IITA_Zaria,56,3,2,51,,,,2,3,2,69,118,59,7.3,13.9,1039,1743.1303
(TGx1987-9F/TGx1740-2F)-#F5-1025-1,G28,IITA_Zaria,57,3,2,56,,,,3,1,1,74,119,76,7.1,13.8,1209.3,2028.84261
TGx 2029-22F,G34,IITA_Zaria,58,3,2,49,,,,3,2,2,86,117,60,7.1,15.5,948.8,1591.80176
(TGx1740-2F/MW1)-#F6-2002-10-15,G29,IITA_Zaria,59,3,2,46,,,,2,2,1,75,108,84,7.5,16.8,1408.4,2362.87268
TGx1989-19FxTGx1987-10F-5-3-1-2-2-I,G10,IITA_Zaria,60,3,2,59,,,,4,2,1,88,115,127,6.9,12.7,1646.1,2761.66197
TGx 1989-19F,G36,IITA_Zaria,61,4,2,50,,,,4,1,1,83,109,113,7.1,15.9,843.4,1414.97218
TGx_2022-3E,G12,IITA_Zaria,62,4,2,56,,,,5,2,1,62,118,103,6.9,14.3,965.3,1619.48381
TGx1987-11FxH7-3-1-1-1-2-6-I,G9,IITA_Zaria,63,4,2,50,,,,3,3,2,82,119,129,7.3,13.3,1395.9,2341.90143
Panaroma-1,G18,IITA_Zaria,64,4,2,50,,,,4,2,1,88,122,26,7.1,19.7,528.7,886.99999
TGx 2029-20F,G38,IITA_Zaria,65,4,2,49,,,,3,1,1,74,103,44,7.2,15.9,864.9,1451.04273
(TGx1740-2F/MW1)-#F6-2002-10-28,G31,IITA_Zaria,66,5,2,46,,,,4,1,1,64,105,117,7.4,10.6,1684.2,2825.58234
TGx 1448-2E,G35,IITA_Zaria,67,5,2,47,,,,5,2,1,71,122,96,7.2,11.2,1101.8,1848.48986
TGx2029-31F,G19,IITA_Zaria,68,5,2,46,,,,5,1,2,108,115,95,6.9,15.1,1057.7,1774.50329
(TGx1830-20E/UG5)-#F6-2014-27-5,G32,IITA_Zaria,69,5,2,41,,,,3,1,1,65,102,169,7.6,15,1678.1,2815.34837
TGx2029-27F,G39,IITA_Zaria,70,5,2,44,,,,5,1,1,96,108,120,7.2,15.5,1368.4,2295.76468
TGx1987-9FxTGx1835-10E-1-2-2-1-1,G7,IITA_Zaria,71,6,2,52,,,,4,2,1,80,103,118,7.4,14.1,1041.8,1747.82786
TGx 2014-16FM,G23,IITA_Zaria,72,6,2,40,,,,3,2,2,85,103,104,7.6,15.6,1495.8,2509.50366
SC-SIGNA,G24,IITA_Zaria,73,6,2,41,,,,5,1,2,84,109,76,7.3,16.7,1044.9,1753.02873
(TGx1987-62F/MW1)-#F5-1006-22,G43,IITA_Zaria,74,6,2,50,,,,4,2,1,79,104,137,7.2,16.3,1163.3,1951.66841
TGx1961-1FxTGx1835-10E-1-1-4-2-1-E,G6,IITA_Zaria,75,6,2,56,,,,3,1,1,82,106,77,7.2,18.1,668.2,1121.03914
(TGx1740-2F/MW1)-#F6-2002-10-19,G30,IITA_Zaria,76,7,2,46,,,,4,2,1,66,107,87,7.1,17.1,1213.2,2035.38564
(TGx1987-62F/MW1)-#F5-1006-15,G42,IITA_Zaria,77,7,2,50,,,,5,3,3,84,105,115,6.9,16.7,1153,1934.3881
TGx_1951-4F,G1,IITA_Zaria,78,7,2,53,,,,5,3,1,98,120,103,7.1,18,1806,3029.9262
Maksoy-4N,G44,IITA_Zaria,79,7,2,46,,,,3,3,1,114,109,68,7.2,20.6,978.7,1641.96499
TGx1990-38FxTGx1835-10E-1-4-3-1-1-E,G14,IITA_Zaria,80,7,2,46,,,,5,2,1,68,108,95,7,15.5,1378.9,2313.38053
TGx_2015-2E,G3,IITA_Zaria,81,8,2,55,,,,5,1,1,59,117,71,6.9,15.1,1448.9,2430.81953
TGx1989-45FxTGx1835-10E-3-2-1-3-3-E,G11,IITA_Zaria,82,8,2,57,,,,4,2,1,83,117,108,7.6,16.3,1030.6,1729.03762
TGx1961-1FxH10-2-3-7-2-1,G5,IITA_Zaria,83,8,2,57,,,,4,2,2,81,101,92,6.9,15.8,2051.1,3441.13047
SONGDA,G25,IITA_Zaria,84,8,2,46,,,,5,3,1,90,124,157,7.4,10.4,972.9,1632.23433
(TGx1740-2F/MW1)-#F6-2002-10-11,G37,IITA_Zaria,85,8,2,45,,,,5,2,1,67,109,118,6.9,16.9,1531.5,2569.39755
TGx1987-11FxH7-3-1-1-1-2-3-I,G8,IITA_Zaria,86,9,2,60,,,,5,3,1,81,117,54,8,15.2,1283.5,2153.32795
TGx2029-49F,G20,IITA_Zaria,87,9,2,47,,,,5,1,1,100,116,104,6.9,14.2,1449.6,2431.99392
TGx 2029-53F,G22,IITA_Zaria,88,9,2,45,,,,5,1,2,100,118,71,8,13.3,1136.5,1906.70605
TGx1987-62FxH7-1-1-4-3-2-E,G13,IITA_Zaria,89,9,2,57,,,,3,3,4,71,104,122,7.4,11.6,1186.1,1989.91997
(TGx1987-10F/TGx1740-2F)-#F5-1011-6,G40,IITA_Zaria,90,9,2,56,,,,4,2,1,72,114,81,6.9,13.7,1791.4,3005.43178
TGx_1993-18FN,G2,IITA_Zaria,91,1,3,47,,,,3,4,3,60,115,74,6.9,14.9,1792.4,3007.10948
TGx1961-1FxH10-2-3-7-2-1,G5,IITA_Zaria,92,1,3,56,,,,5,3,2,76,115,99,6.9,16.4,1995.6,3348.01812
TGx1987-11FxH7-3-1-1-1-2-6-I,9,IITA_Zaria,93,1,3,50,,,,5,4,1,85,124,120,7.1,16.8,1235.6,2072.96612
TGx2029-27F,G39,IITA_Zaria,94,1,3,45,,,,4,2,2,90,116,74,7.3,15.7,1488.5,2497.25645
TGx_1951-4F,G1,IITA_Zaria,95,1,3,51,,,,5,4,1,87,119,84,7,14.2,923.3,1549.02041
TGx2029-31F,G19,IITA_Zaria,96,2,3,45,,,,5,2,1,110,119,71,6.9,14.1,1303.9,2187.55303
TGx1989-11FxTGx1987-10F-1-1-3-1-3-I,G4,IITA_Zaria,97,2,3,61,,,,4,3,1,96,116,101,6.9,12.7,1208.7,2027.83599
(TGx1987-10F/TGx1740-2F)-#F5-1011-8,G41,IITA_Zaria,98,2,3,57,,,,4,3,1,75,126,190,7.4,14.4,1865.7,3130.08489
(TGx1740-2F/MW1)-#F6-2002-10-11,G37,IITA_Zaria,99,2,3,46,,,,3,3,2,76,115,71,6.9,17.8,1696.4,2846.05028
TGx 2029-20F,G38,IITA_Zaria,100,2,3,50,,,,5,3,2,95,117,56,8,14.9,1099.5,1844.63115
(TGx1740-2F/MW1)-#F6-2002-10-15,G29,IITA_Zaria,101,3,3,47,,,,4,2,1,73,117,87,7.5,16.8,1424.7,2390.21919
Panaroma-3,G16,IITA_Zaria,102,3,3,47,,,,5,3,1,107,116,89,7.1,14.1,1309.5,2196.94815
TGx_2015-2E,G3,IITA_Zaria,103,3,3,56,,,,4,2,1,68,115,71,6.9,14.9,1235,2071.9595
TGx1987-62FxH7-1-1-4-3-2-E,G13,IITA_Zaria,104,3,3,57,,,,3,3,1,72,105,90,7.5,12.9,892.4,1497.17948
TGx 2029-53F,G22,IITA_Zaria,105,3,3,46,,,,5,1,1,92,119,63,7.5,12.9,858.6,1440.47322
SONGDA,G25,IITA_Zaria,106,4,3,46,,,,4,2,1,82,121,102,7.2,11.2,977,1639.1129
SC-SIGNA,G24,IITA_Zaria,107,4,3,41,,,,5,1,2,84,115,63,6.9,19,1401.4,2351.12878
(TGx1740-2F/MW1)-#F6-2002-10-21,G45,IITA_Zaria,108,4,3,48,,,,4,2,3,75,114,53,7.8,16,1029.2,1726.68884
TGx 2029-21F,G15,IITA_Zaria,109,4,3,47,,,,5,1,1,81,116,34,7,13.7,887.6,1489.12652
TGx1961-1FxTGx1835-10E-1-1-4-2-1-E,G6,IITA_Zaria,110,4,3,52,,,,3,3,1,88,107,132,7.5,15,1092.3,1832.55171
TGx1987-9FxTGx1835-10E-1-2-2-1-1,G8,IITA_Zaria,111,5,3,53,,,,4,3,1,69,107,144,7.3,14.1,991,1662.6007
TGx1989-19FxTGx1987-10F-5-3-1-2-2-I,G10,IITA_Zaria,112,5,3,58,,,,4,1,2,75,115,78,7.6,12.4,1610.8,2702.43916
Panaroma-1,G18,IITA_Zaria,113,5,3,50,,,,4,1,1,85,124,55,7.3,14.7,412.5,692.05125
TGX1951-3F,G27,IITA_Zaria,114,5,3,57,,,,5,2,1,97,116,75,7,11.9,1216.8,2041.42536
TGx 2029-22F,G34,IITA_Zaria,115,5,3,50,,,,5,1,2,93,118,52,6.9,13.6,950.8,1595.15716
(TGx1987-10F/TGx1740-2F)-#F5-1011-6,G40,IITA_Zaria,116,6,3,53,,,,5,1,1,74,115,109,7.1,14.9,1509.3,2532.15261
Maksoy-4N,G44,IITA_Zaria,117,6,3,47,,,,4,2,2,104,116,32,7.5,18.6,732.4,1228.74748
TGx2029-49F,G20,IITA_Zaria,118,6,3,45,,,,5,1,1,105,119,65,7,13.9,952.3,1597.67371
(TGx1830-20E/UG5)-#F6-2014-27-6,G33,IITA_Zaria,119,6,3,43,,,,3,2,1,71,101,135,6.9,14.5,1421.7,2385.18609
TGx 1448-2E,G35,IITA_Zaria,120,6,3,45,,,,4,3,1,89,118,97,7.1,10.9,719.6,1207.27292
TGx1987-11FxH7-3-1-1-1-2-3-I,G9,IITA_Zaria,121,7,3,59,,,,5,2,2,70,116,101,7.1,13.9,860.6,1443.82862
TGx 2029-39F,G26,IITA_Zaria,122,7,3,45,,,,5,1,1,100,117,69,7.2,17.4,1021.7,1714.10609
TGx_2022-3E,G12,IITA_Zaria,123,7,3,56,,,,4,3,2,82,118,59,6.9,12.1,892.9,1498.01833
(TGx1987-62F/MW1)-#F5-1006-22,G43,IITA_Zaria,124,7,3,51,,,,5,2,1,83,116,67,7.1,14.2,1178.4,1977.00168
(TGx1740-2F/MW1)-#F6-2002-10-28,G31,IITA_Zaria,125,7,3,47,,,,5,2,1,73,116,81,7.2,15.9,1245.1,2088.90427
(TGx1987-9F/TGx1740-2F)-#F5-1025-1,G28,IITA_Zaria,126,8,3,48,,,,2,1,1,71,122,198,7.2,11.9,1082.4,1815.94248
TGx1990-38FxTGx1835-10E-1-4-3-1-1-E,G14,IITA_Zaria,127,8,3,45,,,,5,1,1,64,108,85,6.9,18.2,1288.3,2161.38091
(TGx1830-20E/UG5)-#F6-2014-27-5,G32,IITA_Zaria,128,8,3,43,,,,3,1,2,65,103,125,6.9,14.1,1120.7,1880.19839
TGx1989-45FxTGx1835-10E-3-2-1-3-3-E,G11,IITA_Zaria,129,8,3,54,,,,4,2,1,92,116,110,7.4,14.4,1705.9,2861.98843
TGx 2029-7F,G17,IITA_Zaria,130,8,3,46,,,,5,1,1,97,116,91,7.9,12.5,807.3,1354.40721
TGx 1989-19F,G36,IITA_Zaria,131,9,3,50,,,,3,2,3,84,114,91,6.9,15,811.6,1361.62132
(TGx1740-2F/MW1)-#F6-2002-10-19,G30,IITA_Zaria,132,9,3,47,,,,5,3,1,71,116,88,6.9,16.9,974.9,1635.58973
(TGx1987-62F/MW1)-#F5-1006-15,G42,IITA_Zaria,133,9,3,51,,,,4,3,2,76,116,51,6.9,16.1,771.4,1294.17778
PANORAMA-27D,G21,IITA_Zaria,134,9,3,52,,,,4,2,1,74,120,34,7.3,12.2,775.5,1301.05635
TGx 2014-16FM,G23,IITA_Zaria,135,9,3,37,,,,3,1,1,65,100,62,7.2,15.2,863.2,1448.19064
