State,Villages,Accession,Accesion,Emmergence,PH,NL,LL,LW,NS,SSTL
Oueme,Hounvigue,A1,O-B-H stolon  21,21,35.4,5,12.4,14.9,0,4
Zou,Hounvigue,A1,O-B-H stolon  21,19,35.75,4,15.85,18.9,0,3
Ketou,Hounvigue,A1,O-B-H stolon  21,9,45.58,6,16.55,20.65,0,5
Oueme,Adjohoun,A1,O-B-H stolon  21,9,28.7,6,11.15,13.9,0,4
Zou,Adjohoun,A1,O-B-H stolon  21,9,43.08,4,16.4,17.75,0,4
Ketou,Adjohoun,A1,O-B-H stolon  21,9,40.21,4,15,17.85,0,2
Oueme,Zounnou,A1,O-B-H stolon  21,14,36.614,6,14.25,17.6,0,5
Zou,Zounnou,A1,O-B-H stolon  21,7,41.49,4,15.85,19.2,0,2
Ketou,Zounnou,A1,O-B-H stolon  21,9,35.8,5,13.4,14.65,0,5
Oueme,Sodji,A1,O-B-H stolon  21,21,29.75,6,12.15,14.45,0,3
Zou,Sodji,A1,O-B-H stolon  21,21,22.9,5,11,11.5,0,3
Ketou,Sodji,A1,O-B-H stolon  21,9,30.25,4,11.6,13.01,0,3
Oueme,Hounvigue,A2,O-B-H stolon  22,7,25.375,4,11.15,12.365,0,2
Zou,Hounvigue,A2,O-B-H stolon  22,9,28.66,3,11.65,12.8,0,0
Ketou,Hounvigue,A2,O-B-H stolon  22,9,41.75,4,18,19.42,0,5
Oueme,Adjohoun,A2,O-B-H stolon  22,9,39.66,3,18.9,20.4,0,6
Zou,Adjohoun,A2,O-B-H stolon  22,9,29.83,4,14.1,15.65,0,4
Ketou,Adjohoun,A2,O-B-H stolon  22,9,28.62,4,,,0,5
Oueme,Zounnou,A2,O-B-H stolon  22,7,33.5,6,14.1,15.1,0,5
Zou,Zounnou,A2,O-B-H stolon  22,9,35.375,5,15,16.3,0,2
Ketou,Zounnou,A2,O-B-H stolon  22,9,28.5,4,14.75,15.55,0,5
Oueme,Sodji,A2,O-B-H stolon  22,9,32.16,3,,,0,6
Zou,Sodji,A2,O-B-H stolon  22,9,32.83,4,15.755,17.305,0,6
Ketou,Sodji,A2,O-B-H stolon  22,9,28.75,21,9.56,9.86,8,6
Oueme,Hounvigue,A3,O-B-H stolon  23,9,29.25,8,10.775,12.45,0,5
Zou,Hounvigue,A3,O-B-H stolon  23,21,38.9,6,15,16.8,0,1
Ketou,Hounvigue,A3,O-B-H stolon  23,21,24.42,7,15,15.25,2,2
Oueme,Adjohoun,A3,O-B-H stolon  23,10,33.1,5,14.65,16.75,2,0
Zou,Adjohoun,A3,O-B-H stolon  23,21,17.25,4,8.2,8.65,0,4
Ketou,Adjohoun,A3,O-B-H stolon  23,14,22.25,5,9.53,10.66,4,0
Oueme,Zounnou,A3,O-B-H stolon  23,,,,,,,
Zou,Zounnou,A3,O-B-H stolon  23,,,,,,,
Ketou,Zounnou,A3,O-B-H stolon  23,,,,,,,
Oueme,Sodji,A3,O-B-H stolon  23,,,,,,,
Zou,Sodji,A3,O-B-H stolon  23,,,,,,,
Ketou,Sodji,A3,O-B-H stolon  23,,,,,,,
Oueme,Hounvigue,A4,O-B-H stolon  24,,,,,,,
Zou,Hounvigue,A4,O-B-H stolon  24,,,,,,,
Ketou,Hounvigue,A4,O-B-H stolon  24,,,,,,,
Oueme,Adjohoun,A4,O-B-H stolon  24,,,,,,,
Zou,Adjohoun,A4,O-B-H stolon  24,,,,,,,
Ketou,Adjohoun,A4,O-B-H stolon  24,,,,,,,
Oueme,Zounnou,A4,O-B-H stolon  24,,,,,,,
Zou,Zounnou,A4,O-B-H stolon  24,,,,,,,
Ketou,Zounnou,A4,O-B-H stolon  24,,,,,,,
Oueme,Sodji,A4,O-B-H stolon  24,,,,,,,
Zou,Sodji,A4,O-B-H stolon  24,,,,,,,
Ketou,Sodji,A4,O-B-H stolon  24,,,,,,,
Oueme,Hounvigue,A5,O-B-H stolon  25,,,,,,,
Zou,Hounvigue,A5,O-B-H stolon  25,,,,,,,
Ketou,Hounvigue,A5,O-B-H stolon  25,,,,,,,
Oueme,Adjohoun,A5,O-B-H stolon  25,,,,,,,
Zou,Adjohoun,A5,O-B-H stolon  25,,,,,,,
Ketou,Adjohoun,A5,O-B-H stolon  25,,,,,,,
Oueme,Zounnou,A5,O-B-H stolon  25,,,,,,,
Zou,Zounnou,A5,O-B-H stolon  25,,,,,,,
Ketou,Zounnou,A5,O-B-H stolon  25,,,,,,,
Oueme,Sodji,A5,O-B-H stolon  25,,,,,,,
Zou,Sodji,A5,O-B-H stolon  25,,,,,,,
Ketou,Sodji,A5,O-B-H stolon  25,,,,,,,
Oueme,Hounvigue,A6,O-B-H stolon  26,,,,,,,
Zou,Hounvigue,A6,O-B-H stolon  26,,,,,,,
Ketou,Hounvigue,A6,O-B-H stolon  26,,,,,,,
Oueme,Adjohoun,A6,O-B-H stolon  26,,,,,,,
Zou,Adjohoun,A6,O-B-H stolon  26,,,,,,,
Ketou,Adjohoun,A6,O-B-H stolon  26,,,,,,,
Oueme,Zounnou,A6,O-B-H stolon  26,,,,,,,
Zou,Zounnou,A6,O-B-H stolon  26,,,,,,,
Ketou,Zounnou,A6,O-B-H stolon  26,,,,,,,
Oueme,Sodji,A6,O-B-H stolon  26,,,,,,,
Zou,Sodji,A6,O-B-H stolon  26,,,,,,,
Ketou,Sodji,A6,O-B-H stolon  26,,,,,,,
Oueme,Hounvigue,A7,O-B-H stolon  27,,,,,,,
Zou,Hounvigue,A7,O-B-H stolon  27,,,,,,,
Ketou,Hounvigue,A7,O-B-H stolon  27,,,,,,,
Oueme,Adjohoun,A7,O-B-H stolon  27,,,,,,,
Zou,Adjohoun,A7,O-B-H stolon  27,,,,,,,
Ketou,Adjohoun,A7,O-B-H stolon  27,,,,,,,
Oueme,Zounnou,A7,O-B-H stolon  27,,,,,,,
Zou,Zounnou,A7,O-B-H stolon  27,,,,,,,
Ketou,Zounnou,A7,O-B-H stolon  27,,,,,,,
Oueme,Sodji,A7,O-B-H stolon  27,,,,,,,
Zou,Sodji,A7,O-B-H stolon  27,,,,,,,
Ketou,Sodji,A7,O-B-H stolon  27,,,,,,,
Oueme,Hounvigue,A8,O-B-H stolon  28,,,,,,,
Zou,Hounvigue,A8,O-B-H stolon  28,,,,,,,
Ketou,Hounvigue,A8,O-B-H stolon  28,,,,,,,
Oueme,Adjohoun,A8,O-B-H stolon  28,,,,,,,
Zou,Adjohoun,A8,O-B-H stolon  28,,,,,,,
Ketou,Adjohoun,A8,O-B-H stolon  28,,,,,,,
Oueme,Zounnou,A8,O-B-H stolon  28,,,,,,,
Zou,Zounnou,A8,O-B-H stolon  28,,,,,,,
Ketou,Zounnou,A8,O-B-H stolon  28,,,,,,,
Oueme,Sodji,A8,O-B-H stolon  28,,,,,,,
Zou,Sodji,A8,O-B-H stolon  28,,,,,,,
Ketou,Sodji,A8,O-B-H stolon  28,,,,,,,
Oueme,Hounvigue,A9,O-B-H stolon  29,,,,,,,
Zou,Hounvigue,A9,O-B-H stolon  29,,,,,,,
Ketou,Hounvigue,A9,O-B-H stolon  29,,,,,,,
Oueme,Adjohoun,A9,O-B-H stolon  29,,,,,,,
Zou,Adjohoun,A9,O-B-H stolon  29,,,,,,,
Ketou,Adjohoun,A9,O-B-H stolon  29,,,,,,,
Oueme,Zounnou,A9,O-B-H stolon  29,,,,,,,
Zou,Zounnou,A9,O-B-H stolon  29,,,,,,,
Ketou,Zounnou,A9,O-B-H stolon  29,,,,,,,
Oueme,Sodji,A9,O-B-H stolon  29,,,,,,,
Zou,Sodji,A9,O-B-H stolon  29,,,,,,,
Ketou,Sodji,A9,O-B-H stolon  29,,,,,,,
Oueme,Hounvigue,A10,O-B-H corm  30,,,,,,,
Zou,Hounvigue,A10,O-B-H corm  30,,,,,,,
Ketou,Hounvigue,A10,O-B-H corm  30,,,,,,,
Oueme,Adjohoun,A10,O-B-H corm  30,,,,,,,
Zou,Adjohoun,A10,O-B-H corm  30,,,,,,,
Ketou,Adjohoun,A10,O-B-H corm  30,,,,,,,
Oueme,Zounnou,A10,O-B-H corm  30,,,,,,,
Zou,Zounnou,A10,O-B-H corm  30,,,,,,,
Ketou,Zounnou,A10,O-B-H corm  30,,,,,,,
Oueme,Sodji,A10,O-B-H corm  30,,,,,,,
Zou,Sodji,A10,O-B-H corm  30,,,,,,,
Ketou,Sodji,A10,O-B-H corm  30,,,,,,,
Oueme,Hounvigue,A11,O-B-H corm  31,,,,,,,
Zou,Hounvigue,A11,O-B-H corm  31,,,,,,,
Ketou,Hounvigue,A11,O-B-H corm  31,,,,,,,
Oueme,Adjohoun,A11,O-B-H corm  31,,,,,,,
Zou,Adjohoun,A11,O-B-H corm  31,,,,,,,
Ketou,Adjohoun,A11,O-B-H corm  31,,,,,,,
Oueme,Zounnou,A11,O-B-H corm  31,,,,,,,
Zou,Zounnou,A11,O-B-H corm  31,,,,,,,
Ketou,Zounnou,A11,O-B-H corm  31,,,,,,,
Oueme,Sodji,A11,O-B-H corm  31,,,,,,,
Zou,Sodji,A11,O-B-H corm  31,,,,,,,
Ketou,Sodji,A11,O-B-H corm  31,,,,,,,
Oueme,Hounvigue,A12,O-A-S stolon  21,,,,,,,
Zou,Hounvigue,A12,O-A-S stolon  21,,,,,,,
Ketou,Hounvigue,A12,O-A-S stolon  21,,,,,,,
Oueme,Adjohoun,A12,O-A-S stolon  21,,,,,,,
Zou,Adjohoun,A12,O-A-S stolon  21,,,,,,,
Ketou,Adjohoun,A12,O-A-S stolon  21,,,,,,,
Oueme,Zounnou,A12,O-A-S stolon  21,,,,,,,
Zou,Zounnou,A12,O-A-S stolon  21,,,,,,,
Ketou,Zounnou,A12,O-A-S stolon  21,,,,,,,
Oueme,Sodji,A12,O-A-S stolon  21,,,,,,,
Zou,Sodji,A12,O-A-S stolon  21,,,,,,,
Ketou,Sodji,A12,O-A-S stolon  21,,,,,,,
Oueme,Hounvigue,A13,O-A-S stolon  22,,,,,,,
Zou,Hounvigue,A13,O-A-S stolon  22,,,,,,,
Ketou,Hounvigue,A13,O-A-S stolon  22,,,,,,,
Oueme,Adjohoun,A13,O-A-S stolon  22,,,,,,,
Zou,Adjohoun,A13,O-A-S stolon  22,,,,,,,
Ketou,Adjohoun,A13,O-A-S stolon  22,,,,,,,
Oueme,Zounnou,A13,O-A-S stolon  22,,,,,,,
Zou,Zounnou,A13,O-A-S stolon  22,,,,,,,
Ketou,Zounnou,A13,O-A-S stolon  22,,,,,,,
Oueme,Sodji,A13,O-A-S stolon  22,,,,,,,
Zou,Sodji,A13,O-A-S stolon  22,,,,,,,
Ketou,Sodji,A13,O-A-S stolon  22,,,,,,,
Oueme,Hounvigue,A14,O-A-S stolon  23,,,,,,,
Zou,Hounvigue,A14,O-A-S stolon  23,,,,,,,
Ketou,Hounvigue,A14,O-A-S stolon  23,,,,,,,
Oueme,Adjohoun,A14,O-A-S stolon  23,,,,,,,
Zou,Adjohoun,A14,O-A-S stolon  23,,,,,,,
Ketou,Adjohoun,A14,O-A-S stolon  23,,,,,,,
Oueme,Zounnou,A14,O-A-S stolon  23,,,,,,,
Zou,Zounnou,A14,O-A-S stolon  23,,,,,,,
Ketou,Zounnou,A14,O-A-S stolon  23,,,,,,,
Oueme,Sodji,A14,O-A-S stolon  23,,,,,,,
Zou,Sodji,A14,O-A-S stolon  23,,,,,,,
Ketou,Sodji,A14,O-A-S stolon  23,,,,,,,
Oueme,Hounvigue,A15,O-A-S stolon  24,,,,,,,
Zou,Hounvigue,A15,O-A-S stolon  24,,,,,,,
Ketou,Hounvigue,A15,O-A-S stolon  24,,,,,,,
Oueme,Adjohoun,A15,O-A-S stolon  24,,,,,,,
Zou,Adjohoun,A15,O-A-S stolon  24,,,,,,,
Ketou,Adjohoun,A15,O-A-S stolon  24,,,,,,,
Oueme,Zounnou,A15,O-A-S stolon  24,,,,,,,
Zou,Zounnou,A15,O-A-S stolon  24,,,,,,,
Ketou,Zounnou,A15,O-A-S stolon  24,,,,,,,
Oueme,Sodji,A15,O-A-S stolon  24,,,,,,,
Zou,Sodji,A15,O-A-S stolon  24,,,,,,,
Ketou,Sodji,A15,O-A-S stolon  24,,,,,,,
Oueme,Hounvigue,A16,O-A-S stolon  25,,,,,,,
Zou,Hounvigue,A16,O-A-S stolon  25,,,,,,,
Ketou,Hounvigue,A16,O-A-S stolon  25,,,,,,,
Oueme,Adjohoun,A16,O-A-S stolon  25,,,,,,,
Zou,Adjohoun,A16,O-A-S stolon  25,,,,,,,
Ketou,Adjohoun,A16,O-A-S stolon  25,,,,,,,
Oueme,Zounnou,A16,O-A-S stolon  25,,,,,,,
Zou,Zounnou,A16,O-A-S stolon  25,,,,,,,
Ketou,Zounnou,A16,O-A-S stolon  25,,,,,,,
Oueme,Sodji,A16,O-A-S stolon  25,,,,,,,
Zou,Sodji,A16,O-A-S stolon  25,,,,,,,
Ketou,Sodji,A16,O-A-S stolon  25,,,,,,,
Oueme,Hounvigue,A17,O-A-S stolon  26,,,,,,,
Zou,Hounvigue,A17,O-A-S stolon  26,,,,,,,
Ketou,Hounvigue,A17,O-A-S stolon  26,,,,,,,
Oueme,Adjohoun,A17,O-A-S stolon  26,,,,,,,
Zou,Adjohoun,A17,O-A-S stolon  26,,,,,,,
Ketou,Adjohoun,A17,O-A-S stolon  26,,,,,,,
Oueme,Zounnou,A17,O-A-S stolon  26,,,,,,,
Zou,Zounnou,A17,O-A-S stolon  26,,,,,,,
Ketou,Zounnou,A17,O-A-S stolon  26,,,,,,,
Oueme,Sodji,A17,O-A-S stolon  26,,,,,,,
Zou,Sodji,A17,O-A-S stolon  26,,,,,,,
Ketou,Sodji,A17,O-A-S stolon  26,,,,,,,
Oueme,Hounvigue,A18,O-A-S stolon  27,,,,,,,
Zou,Hounvigue,A18,O-A-S stolon  27,,,,,,,
Ketou,Hounvigue,A18,O-A-S stolon  27,,,,,,,
Oueme,Adjohoun,A18,O-A-S stolon  27,,,,,,,
Zou,Adjohoun,A18,O-A-S stolon  27,,,,,,,
Ketou,Adjohoun,A18,O-A-S stolon  27,,,,,,,
Oueme,Zounnou,A18,O-A-S stolon  27,,,,,,,
Zou,Zounnou,A18,O-A-S stolon  27,,,,,,,
Ketou,Zounnou,A18,O-A-S stolon  27,,,,,,,
Oueme,Sodji,A18,O-A-S stolon  27,,,,,,,
Zou,Sodji,A18,O-A-S stolon  27,,,,,,,
Ketou,Sodji,A18,O-A-S stolon  27,,,,,,,
Oueme,Hounvigue,A19,O-A-S stolon  28,,,,,,,
Zou,Hounvigue,A19,O-A-S stolon  28,,,,,,,
Ketou,Hounvigue,A19,O-A-S stolon  28,,,,,,,
Oueme,Adjohoun,A19,O-A-S stolon  28,,,,,,,
Zou,Adjohoun,A19,O-A-S stolon  28,,,,,,,
Ketou,Adjohoun,A19,O-A-S stolon  28,,,,,,,
Oueme,Zounnou,A19,O-A-S stolon  28,,,,,,,
Zou,Zounnou,A19,O-A-S stolon  28,,,,,,,
Ketou,Zounnou,A19,O-A-S stolon  28,,,,,,,
Oueme,Sodji,A19,O-A-S stolon  28,,,,,,,
Zou,Sodji,A19,O-A-S stolon  28,,,,,,,
Ketou,Sodji,A19,O-A-S stolon  28,,,,,,,
Oueme,Hounvigue,A20,O-A-S stolon  29,,,,,,,
Zou,Hounvigue,A20,O-A-S stolon  29,,,,,,,
Ketou,Hounvigue,A20,O-A-S stolon  29,,,,,,,
Oueme,Adjohoun,A20,O-A-S stolon  29,,,,,,,
Zou,Adjohoun,A20,O-A-S stolon  29,,,,,,,
Ketou,Adjohoun,A20,O-A-S stolon  29,,,,,,,
Oueme,Zounnou,A20,O-A-S stolon  29,,,,,,,
Zou,Zounnou,A20,O-A-S stolon  29,,,,,,,
Ketou,Zounnou,A20,O-A-S stolon  29,,,,,,,
Oueme,Sodji,A20,O-A-S stolon  29,,,,,,,
Zou,Sodji,A20,O-A-S stolon  29,,,,,,,
Ketou,Sodji,A20,O-A-S stolon  29,,,,,,,
Oueme,Hounvigue,A21,O-A-S stolon  30,,,,,,,
Zou,Hounvigue,A21,O-A-S stolon  30,,,,,,,
Ketou,Hounvigue,A21,O-A-S stolon  30,,,,,,,
Oueme,Adjohoun,A21,O-A-S stolon  30,,,,,,,
Zou,Adjohoun,A21,O-A-S stolon  30,,,,,,,
Ketou,Adjohoun,A21,O-A-S stolon  30,,,,,,,
Oueme,Zounnou,A21,O-A-S stolon  30,,,,,,,
Zou,Zounnou,A21,O-A-S stolon  30,,,,,,,
Ketou,Zounnou,A21,O-A-S stolon  30,,,,,,,
Oueme,Sodji,A21,O-A-S stolon  30,,,,,,,
Zou,Sodji,A21,O-A-S stolon  30,,,,,,,
Ketou,Sodji,A21,O-A-S stolon  30,,,,,,,
Oueme,Hounvigue,A22,O-A-S stolon  31,,,,,,,
Zou,Hounvigue,A22,O-A-S stolon  31,,,,,,,
Ketou,Hounvigue,A22,O-A-S stolon  31,,,,,,,
Oueme,Adjohoun,A22,O-A-S stolon  31,,,,,,,
Zou,Adjohoun,A22,O-A-S stolon  31,,,,,,,
Ketou,Adjohoun,A22,O-A-S stolon  31,,,,,,,
Oueme,Zounnou,A22,O-A-S stolon  31,,,,,,,
Zou,Zounnou,A22,O-A-S stolon  31,,,,,,,
Ketou,Zounnou,A22,O-A-S stolon  31,,,,,,,
Oueme,Sodji,A22,O-A-S stolon  31,,,,,,,
Zou,Sodji,A22,O-A-S stolon  31,,,,,,,
Ketou,Sodji,A22,O-A-S stolon  31,,,,,,,
Oueme,Hounvigue,A23,O-A-S stolon  32,,,,,,,
Zou,Hounvigue,A23,O-A-S stolon  32,,,,,,,
Ketou,Hounvigue,A23,O-A-S stolon  32,,,,,,,
Oueme,Adjohoun,A23,O-A-S stolon  32,,,,,,,
Zou,Adjohoun,A23,O-A-S stolon  32,,,,,,,
Ketou,Adjohoun,A23,O-A-S stolon  32,,,,,,,
Oueme,Zounnou,A23,O-A-S stolon  32,,,,,,,
Zou,Zounnou,A23,O-A-S stolon  32,,,,,,,
Ketou,Zounnou,A23,O-A-S stolon  32,,,,,,,
Oueme,Sodji,A23,O-A-S stolon  32,,,,,,,
Zou,Sodji,A23,O-A-S stolon  32,,,,,,,
Ketou,Sodji,A23,O-A-S stolon  32,,,,,,,
Oueme,Hounvigue,A24,O-A-S corm  33,,,,,,,
Zou,Hounvigue,A24,O-A-S corm  33,,,,,,,
Ketou,Hounvigue,A24,O-A-S corm  33,,,,,,,
Oueme,Adjohoun,A24,O-A-S corm  33,,,,,,,
Zou,Adjohoun,A24,O-A-S corm  33,,,,,,,
Ketou,Adjohoun,A24,O-A-S corm  33,,,,,,,
Oueme,Zounnou,A24,O-A-S corm  33,,,,,,,
Zou,Zounnou,A24,O-A-S corm  33,,,,,,,
Ketou,Zounnou,A24,O-A-S corm  33,,,,,,,
Oueme,Sodji,A24,O-A-S corm  33,,,,,,,
Zou,Sodji,A24,O-A-S corm  33,,,,,,,
Ketou,Sodji,A24,O-A-S corm  33,,,,,,,
Oueme,Hounvigue,A25,O-A-S corm  34,,,,,,,
Zou,Hounvigue,A25,O-A-S corm  34,,,,,,,
Ketou,Hounvigue,A25,O-A-S corm  34,,,,,,,
Oueme,Adjohoun,A25,O-A-S corm  34,,,,,,,
Zou,Adjohoun,A25,O-A-S corm  34,,,,,,,
Ketou,Adjohoun,A25,O-A-S corm  34,,,,,,,
Oueme,Zounnou,A25,O-A-S corm  34,,,,,,,
Zou,Zounnou,A25,O-A-S corm  34,,,,,,,
Ketou,Zounnou,A25,O-A-S corm  34,,,,,,,
Oueme,Sodji,A25,O-A-S corm  34,,,,,,,
Zou,Sodji,A25,O-A-S corm  34,,,,,,,
Ketou,Sodji,A25,O-A-S corm  34,,,,,,,
Oueme,Hounvigue,A26,O-A-S corm  35,,,,,,,
Zou,Hounvigue,A26,O-A-S corm  35,,,,,,,
Ketou,Hounvigue,A26,O-A-S corm  35,,,,,,,
Oueme,Adjohoun,A26,O-A-S corm  35,,,,,,,
Zou,Adjohoun,A26,O-A-S corm  35,,,,,,,
Ketou,Adjohoun,A26,O-A-S corm  35,,,,,,,
Oueme,Zounnou,A26,O-A-S corm  35,,,,,,,
Zou,Zounnou,A26,O-A-S corm  35,,,,,,,
Ketou,Zounnou,A26,O-A-S corm  35,,,,,,,
Oueme,Sodji,A26,O-A-S corm  35,,,,,,,
Zou,Sodji,A26,O-A-S corm  35,,,,,,,
Ketou,Sodji,A26,O-A-S corm  35,,,,,,,
Oueme,Hounvigue,A27,O-A-S corm  36,,,,,,,
Zou,Hounvigue,A27,O-A-S corm  36,,,,,,,
Ketou,Hounvigue,A27,O-A-S corm  36,,,,,,,
Oueme,Adjohoun,A27,O-A-S corm  36,,,,,,,
Zou,Adjohoun,A27,O-A-S corm  36,,,,,,,
Ketou,Adjohoun,A27,O-A-S corm  36,,,,,,,
Oueme,Zounnou,A27,O-A-S corm  36,,,,,,,
Zou,Zounnou,A27,O-A-S corm  36,,,,,,,
Ketou,Zounnou,A27,O-A-S corm  36,,,,,,,
Oueme,Sodji,A27,O-A-S corm  36,,,,,,,
Zou,Sodji,A27,O-A-S corm  36,,,,,,,
Ketou,Sodji,A27,O-A-S corm  36,,,,,,,
Oueme,Hounvigue,A28,O-A-S corm  37,,,,,,,
Zou,Hounvigue,A28,O-A-S corm  37,,,,,,,
Ketou,Hounvigue,A28,O-A-S corm  37,,,,,,,
Oueme,Adjohoun,A28,O-A-S corm  37,,,,,,,
Zou,Adjohoun,A28,O-A-S corm  37,,,,,,,
Ketou,Adjohoun,A28,O-A-S corm  37,,,,,,,
Oueme,Zounnou,A28,O-A-S corm  37,,,,,,,
Zou,Zounnou,A28,O-A-S corm  37,,,,,,,
Ketou,Zounnou,A28,O-A-S corm  37,,,,,,,
Oueme,Sodji,A28,O-A-S corm  37,,,,,,,
Zou,Sodji,A28,O-A-S corm  37,,,,,,,
Ketou,Sodji,A28,O-A-S corm  37,,,,,,,
Oueme,Hounvigue,A29,Z-D-Z stolon 21,,,,,,,
Zou,Hounvigue,A29,Z-D-Z stolon 21,,,,,,,
Ketou,Hounvigue,A29,Z-D-Z stolon 21,,,,,,,
Oueme,Adjohoun,A29,Z-D-Z stolon 21,,,,,,,
Zou,Adjohoun,A29,Z-D-Z stolon 21,,,,,,,
Ketou,Adjohoun,A29,Z-D-Z stolon 21,,,,,,,
Oueme,Zounnou,A29,Z-D-Z stolon 21,,,,,,,
Zou,Zounnou,A29,Z-D-Z stolon 21,,,,,,,
Ketou,Zounnou,A29,Z-D-Z stolon 21,,,,,,,
Oueme,Sodji,A29,Z-D-Z stolon 21,,,,,,,
Zou,Sodji,A29,Z-D-Z stolon 21,,,,,,,
Ketou,Sodji,A29,Z-D-Z stolon 21,,,,,,,
Oueme,Hounvigue,A30,P-K-S stolon 13,,,,,,,
Zou,Hounvigue,A30,P-K-S stolon 13,,,,,,,
Ketou,Hounvigue,A30,P-K-S stolon 13,,,,,,,
Oueme,Adjohoun,A30,P-K-S stolon 13,,,,,,,
Zou,Adjohoun,A30,P-K-S stolon 13,,,,,,,
Ketou,Adjohoun,A30,P-K-S stolon 13,,,,,,,
Oueme,Zounnou,A30,P-K-S stolon 13,,,,,,,
Zou,Zounnou,A30,P-K-S stolon 13,,,,,,,
Ketou,Zounnou,A30,P-K-S stolon 13,,,,,,,
Oueme,Sodji,A30,P-K-S stolon 13,,,,,,,
Zou,Sodji,A30,P-K-S stolon 13,,,,,,,
Ketou,Sodji,A30,P-K-S stolon 13,,,,,,,
